row,role,items,seeds,signal,source_evidence,release_status
GRID-like stress / Musical,stress/reference,23742,3,"D2 0.977; D3 0.055","_gate0_artifacts/grid_same_dataset_runs/musical_grid_feature_text_3seed_summary_20260519_1600.csv","snapshot tracked; raw local artifact not shipped"
ReSID / Musical,snapshot artifact,23742,1,"D2 0.000; D3 0.154","_gate0_artifacts/grid_same_dataset_runs/musical_same_dataset_grid_vs_resid_summary_20260519_110722.csv","snapshot tracked; raw local artifact not shipped"
ReSID-GAOQ / Video,official-code-derived,24685,1,"D2 0.000; unique SIDs 24,685","experiments/v1_evidence_chain/runs/R145_resid_gaoq_followup_collection.json","official-code-derived artifact; snapshot tracked"
LETTER / Instruments,released index,9922,1,"9897 unique SIDs; D3 0.109","_gate0_artifacts/artifact_refresh_20260527/letter_instruments_official_metrics/*.csv","public upstream artifact; adapter released"
LC-Rec / Instruments,released index,9922,1,"9897 unique SIDs; D3 0.052","_gate0_artifacts/lcrec_official_instruments_metrics/*.csv","public upstream artifact; adapter released"
GRID / P5 Beauty,faithful tokenizer-stage,12101,1,"10,619 unique SIDs; D2 0.122","experiments/v1_evidence_chain/runs/R150_grid_sidinspector_normalization_preflight.json; experiments/v1_evidence_chain/runs/R151_grid_true_row_g1_g2_g3_refresh.json","faithful GRID tokenizer-stage route; compact snapshot tracked"
CARD RQ-VAE / P5 Beauty,official-code-derived,12101,1,"12,098 unique SIDs; D2 0.0005","experiments/v1_evidence_chain/runs/R752_card_rqvae_intake.json; experiments/v1_evidence_chain/gate15_card_rqvae_intake/GATE15_CARD_RESULT.md","official-code-derived CARD RQ-VAE row with compatibility-shim boundary; not an author-released CARD mapping"
ReSOT text-index / Instruments,released-archive intake,6250,1,"6,250 unique SIDs; D2 0.000; D3 0.063","experiments/v1_evidence_chain/runs/R759_resot_text_index_intake.json; experiments/v1_evidence_chain/gate17_resot_intake/G17_RESOT_INTAKE_RESULT.md","released ReSOT data.zip text-index route; no-license-detected reuse caveat"
DIGER RQ-VAE / Beauty,official-code-derived,12101,1,"11,581 unique SIDs; D2 0.070; D3 0.028","experiments/v1_evidence_chain/runs/R763_diger_rqvae_intake.json; experiments/v1_evidence_chain/gate17_diger_intake/G17_DIGER_INTAKE_RESULT.md","official-code-derived DIGER RQ-VAE route from public HF embeddings/checkpoint; no-license-detected reuse caveat"
GRID-like capacity / Musical,stress/reference,23742,1,"D2 0.779; D3 0.080","_gate0_artifacts/grid_same_dataset_runs/matched_capacity_grid_32_1280_1280_seed42_20260520/grid_export/metrics/*.csv","snapshot tracked; raw local artifact not shipped"
RQ-min reference / Musical,reference adapter,23742,1,"D2 0.440; D3 0.065","docs/reproducibility/rqmin_reference_snapshot.csv","snapshot tracked; raw local artifact not shipped"
Deterministic controls / Musical,control set,23742,n/a,"D3 scale; alias bounds","_gate0_artifacts/case_study/resid_sanity_d3v2_summary.csv","snapshot tracked; controls implemented in package"
Mechanism probes / synthetic,mechanism control,synthetic,n/a,D2/D4/D5 separation,"_gate0_artifacts/controllers/*/*_summary.csv","snapshot tracked; raw local artifact not shipped"
Portability extensions / mixed catalogs,portability/extension,varies,varies,"D1-D5, D6 checks","_gate0_artifacts/vertical_replication; _gate0_artifacts/downstream_probe_20260527; _gate0_artifacts/dact_tools_smoke","snapshot tracked where paper-relevant; raw local artifact not shipped"
