paper_artifact_id,paper_artifact_type,paper_placement,intended_caption_or_use,claim_ids,source_rows,package_relative_source_paths,source_sha256_or_regeneration_note,evidence_level,row_count_or_scope,limitations
T1,table,main,Delta from SIDInspector V0 to SIDScope,C1;C11,all seven delta axes,docs/reproducibility/paper_table_sources/table1_resource_delta_source.csv; experiments/v1_evidence_chain/V0_V1_DELTA_AND_VENUE_GATE.md,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,documentation,7 rows,Discloses inherited and new material; final release tag remains a submission gate.
T2,table,main,Artifact and source inventory,C1;C2;C13,all nine named routes and two controls,docs/reproducibility/paper_table_sources/table2_artifact_coverage_source.csv; docs/reproducibility/sidscope_source_license_config_inventory.csv; docs/reproducibility/paper_tables/table2_artifact_coverage.csv,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,tracked_snapshot,11 rows; 9 named routes and 2 stress/control rows,Counts route artifacts rather than method wins; exact configurations and reuse terms remain in the machine-readable inventory.
T3,table,main,C0--C5 adapter admission protocol,C13,six ordered contract levels and eight pass reports,docs/ADAPTER_CONFORMANCE.md; docs/reproducibility/conformance/; examples/conformance_failure_fixture/conformance_report.json,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,fully_runnable,6 rows; 8 routes pass; invalid fixture fails C1,ReSID/Musical remains an auditable snapshot rather than a fully replayable route.
T4,table,main,D1--D5 interface profiles,C2;C3;C4b,all eight executable source routes,docs/reproducibility/paper_tables/table5_diagnostic_profile.csv; docs/reproducibility/conformance/,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,tracked_snapshot,8 rows,Cross-route values are descriptive profiles and not controlled method comparisons.
T5,table,main,D3 calibration-reach evidence ladder,C4;C4c;C5,fourteen comparable Spearman rows across four evidence layers,docs/reproducibility/paper_table_sources/table4_evidence_ladder_source.csv; docs/reproducibility/paper_tables/table6_evidence_ladder.csv; docs/reproducibility/d3_catalog_dependence_summary.json; experiments/v1_evidence_chain/gate35_cluster_reanalysis/; experiments/v1_evidence_chain/gate16_trained_generator_anchor_audit/,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,tracked_snapshot,14 Spearman rows,Within-prefix layers are mechanism-conditional; the five-catalog exact test is sensitivity evidence and trained-generator rows fail model-validity checks.
T6,table,main,Trained constrained-beam path-to-item accounting,C8c,three trained-trace routes,docs/reproducibility/g20_trained_trace_summary.json; docs/reproducibility/paper_table_sources/table10_g20_trained_trace_source.csv; docs/reproducibility/paper_tables/table10_g20_trained_trace.csv,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,tracked_snapshot,3 rows; 1500 targets; 75000 beam rows,Establishes observability and accounting rather than universal prevalence or generator failure mechanism.
T7,table,main,DACT mapping repair and generator handoff,C14,five mapping/model states on one fixed test universe,docs/reproducibility/g22_diagnose_repair_handoff_summary.json; docs/reproducibility/g22_handoff_uncertainty.json; docs/reproducibility/paper_tables/table8_resot_walkthrough.csv,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,tracked_snapshot,5 rows; 5364 paired users; 4999 bootstrap resamples; 3 adapted seeds,One released lifecycle case; no universal repair-effectiveness or causal mapping-to-quality claim.
T8,table,main,Public package contents and verification entry points,C10;C13;C14,six package surfaces,docs/reproducibility/paper_table_sources/table6_resource_contract_source.csv; docs/reproducibility/paper_tables/table9_resource_contract.csv; docs/reproducibility/sidscope_release_candidate_manifest.csv,Regenerate with python3 tools/build_sidscope_paper_tables.py --output-dir docs/reproducibility/paper_tables.,fully_runnable_quickstart_plus_tracked_snapshot_validation,6 rows; 8 manuscript tables; 4 figures,Public repository visibility tag archive hash and no-login URL smoke remain release-time gates.
AT1,table,appendix,Full artifact and extension snapshots,C1;C2;C3,all released snapshot rows,docs/reproducibility/table1_evidence_catalog.csv; docs/reproducibility/official_adapter_metrics_snapshot.csv; docs/reproducibility/extension_checks_snapshot.csv,Regenerate by rerunning the package snapshot builders.,tracked_snapshot,full compact snapshot surface,Package detail only; controls must not be counted as named routes.
AT2,table,appendix,D7 per-case accounting details,C6;C7;C8;C8b,fixture public-beam and released-checkpoint summaries,experiments/v1_evidence_chain/gate4_d7_diagnostic/; experiments/v1_evidence_chain/gate46_d7_per_beam_trace_join/; docs/reproducibility/g21_released_tiger_trace_summary.json,Regenerate by rerunning the D7 accounting builders.,tracked_snapshot,fixture plus 2000000 public beam rows and one released checkpoint,Package detail supports trace semantics and scale but is not a second manuscript table.
