component,path,release_role,evidence_level,public_package,gate_status,notes
package_readme,README.md,entrypoint,documentation,yes,pass_local,Reviewer-facing repository entrypoint and quickstart.
license,LICENSE,license,documentation,yes,pass_local,Repository license for code package.
package_metadata,pyproject.toml,install,documentation,yes,pass_local,Editable install metadata.
legacy_setup,setup.py,install,documentation,yes,pass_local,Compatibility shim for editable install on older reviewer pip/setuptools stacks.
requirements,requirements.txt,install,documentation,yes,pass_local,CPU package dependencies.
source_package,src/sidinspector,runnable_code,fully_runnable,yes,pass_local,Adapter validation metrics churn and D7 trace code.
minimal_adapter,examples/minimal_adapter.py,example,fully_runnable,yes,pass_local,CSV-to-SID adapter used by reviewer quickstart.
toy_diagnostic,examples/run_toy_diagnostic.py,example,fully_runnable,yes,pass_local,Small CPU toy diagnostic example.
toy_data,examples/sample_data,sample_data,fully_runnable,yes,pass_local,Bundled toy sample data for run_toy_diagnostic.
reviewer_quickstart,examples/run_reviewer_quickstart.py,quickstart,fully_runnable,yes,pass_local,CPU reviewer quickstart command.
quickstart_data,examples/reviewer_quickstart_data,sample_data,fully_runnable,yes,pass_local,Bundled toy sample data for quickstart only.
adapter_template,docs/ADAPTER_TEMPLATE.md,documentation,documentation,yes,pass_local,Adapter authoring and normalization contract.
diagnostics_doc,docs/DIAGNOSTICS.md,documentation,documentation,yes,pass_local,D1-D6 diagnostic definitions and interpretation.
resource_package_doc,docs/SIDSCOPE_RESOURCE_PACKAGE.md,documentation,documentation,yes,pass_local,G5 package contract.
usage_demo_doc,docs/SIDSCOPE_USAGE_DEMO.md,documentation,documentation,yes,pass_local,G14 resource-use walkthrough for artifact triage decisions.
datasheet,docs/SIDSCOPE_DATASHEET.md,documentation,documentation,yes,pass_local,G6 resource datasheet.
limitations,docs/SIDSCOPE_LIMITATIONS.md,documentation,documentation,yes,pass_local,G6 limitation boundary.
maintenance,docs/SIDSCOPE_MAINTENANCE.md,documentation,documentation,yes,pass_local,G6 maintenance and versioning plan.
changelog,docs/SIDSCOPE_CHANGELOG.md,documentation,documentation,yes,pass_local,Release-candidate changelog records the clean sidscope split and requires a fresh public smoke for main.
