artifact,group,items,seeds,unique_sids,d2_aliasing_rate,d3_l1_weighted,d4_tail_unique_ratio,d5_active_prefix_counts,source_evidence,artifact_source,release_boundary,decision,question_answered,walkthrough_answer,risk_flags,usage_demo_role
Cat-prefix,Controls,23742,,23742,0.0,0.4469788910982484,1.0,30/83/313/23742,_gate0_artifacts/case_study/resid_sanity_d3v2_summary.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,diagnostic_control_not_method_coverage,Should this control row be promoted as method coverage?,"No. Use it to interpret diagnostic behavior, not as a named artifact candidate.",usable_prefix_exposure_proxy,diagnostic_control
Pop-balanced,Controls,23742,,22707,0.0859657990059809,0.3026051462723587,0.961867606342814,4/1024/22707/22707,_gate0_artifacts/case_study/resid_sanity_d3v2_summary.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,diagnostic_control_not_method_coverage,Should this control row be promoted as method coverage?,"No. Use it to interpret diagnostic behavior, not as a named artifact candidate.",usable_prefix_exposure_proxy,diagnostic_control
RQ-min ref,RQ-style exports,23742,1.0,17247,0.4401,0.065,0.8831,32/2368/17247,docs/reproducibility/rqmin_reference_snapshot.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,manual_review_before_claim,Can this artifact support a paper-facing claim without inspection?,"Not yet. Inspect provenance, exposure, and addressability before promotion.",moderate_full_code_aliasing;weak_prefix_exposure_proxy,inspect
LETTER,Official upstream adapters,9922,1.0,9897,0.0048377343277565,0.1085774469736291,0.9984880556395525,150/6702/9608/9897,_gate0_artifacts/artifact_refresh_20260527/letter_instruments_official_metrics/*.csv,official_adapter_metrics_snapshot,public upstream artifact; adapter released,candidate_for_training_or_comparison,Is this a reasonable artifact to promote to training/comparison?,"Yes, with normal provenance checks and task-specific validation.",usable_prefix_exposure_proxy,promote_candidate
ReSID,Named contrast,23742,1.0,23742,0.0,0.1535441362629664,1.0,32/1280/23742,_gate0_artifacts/grid_same_dataset_runs/musical_same_dataset_grid_vs_resid_summary_20260519_110722.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,candidate_for_training_or_comparison,Is this a reasonable artifact to promote to training/comparison?,"Yes, with normal provenance checks and task-specific validation.",usable_prefix_exposure_proxy,promote_candidate
DIGER RQ-VAE,Official upstream adapters,12101,1.0,11581,0.0704074043467482,0.0283461610662661,0.981651376146789,256/9650/11581,experiments/v1_evidence_chain/runs/R763_diger_rqvae_intake.json,official_adapter_metrics_snapshot,official-code-derived artifact; adapter released; no-license-detected caveat,intake_pass_monitor_exposure,Can this artifact be kept in the matrix?,"Yes, but monitor candidate-exposure and refresh-specific diagnostics.",weak_prefix_exposure_proxy,retain_with_monitoring
LC-Rec,Official upstream adapters,9922,1.0,9897,0.0048377343277565,0.0523687380000907,0.9984880556395525,162/6996/9172/9897,_gate0_artifacts/lcrec_official_instruments_metrics/*.csv,official_adapter_metrics_snapshot,public upstream artifact; adapter released,intake_pass_monitor_exposure,Can this artifact be kept in the matrix?,"Yes, but monitor candidate-exposure and refresh-specific diagnostics.",weak_prefix_exposure_proxy,retain_with_monitoring
ReSOT text-index,Official upstream adapters,6250,1.0,6250,0.0,0.0629058441558441,1.0,83/3645/5729/6250,experiments/v1_evidence_chain/runs/R759_resot_text_index_intake.json,official_adapter_metrics_snapshot,released archive artifact; adapter released; no-license-detected caveat,intake_pass_monitor_exposure,Can this artifact be kept in the matrix?,"Yes, but monitor candidate-exposure and refresh-specific diagnostics.",weak_prefix_exposure_proxy,retain_with_monitoring
GRID-style cap,RQ-style exports,23742,1.0,9874,0.7784516889899755,0.0795953612418499,0.6390636798389127,32/9300/9874,_gate0_artifacts/grid_same_dataset_runs/matched_capacity_grid_32_1280_1280_seed42_20260520/grid_export/metrics/*.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,stress_only_exclude_from_named_coverage,Should this artifact be used as a named method row?,No. Keep as a stress/control row and do not train expensive generators on it.,high_full_code_aliasing;low_addressability;tail_addressability_loss;weak_prefix_exposure_proxy,stress_control
GRID-style ft,RQ-style exports,23742,3.0,3749,0.9768764215314631,0.0551755939778614,0.3694940850742512,64/3440/3749,_gate0_artifacts/grid_same_dataset_runs/musical_grid_feature_text_3seed_summary_20260519_1600.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,stress_only_exclude_from_named_coverage,Should this artifact be used as a named method row?,No. Keep as a stress/control row and do not train expensive generators on it.,severe_full_code_aliasing;low_addressability;tail_addressability_loss;weak_prefix_exposure_proxy,stress_control
Hash-collide,Controls,23742,,256,1.0,0.0037358284363799,0.0322174679083815,256/256/256/256,_gate0_artifacts/case_study/resid_sanity_d3v2_summary.csv,paper_diagnostic_profile,tracked_snapshot_raw_artifacts_not_shipped,stress_only_exclude_from_named_coverage,Should this artifact be used as a named method row?,No. Keep as a stress/control row and do not train expensive generators on it.,severe_full_code_aliasing;low_addressability;tail_addressability_loss;weak_prefix_exposure_proxy,stress_control
